1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
48	64	70	93	45	97	89	66	62	14	36	28	61	50	11	60	43	13	18	15	27	94	76	1	34
25	44	6	32	33	30	89	1	10	20	80	52	66	59	79	53	16	72	46	11	50	77	47	37	51
32	96	70	31	22	80	29	87	50	40	44	47	46	75	86	81	42	45	8	10	85	94	88	35	17
71	30	15	5	90	94	42	41	96	51	85	49	10	89	53	4	38	80	31	16	43	7	67	44	18
34	62	21	37	27	15	20	42	87	39	2	41	68	56	93	36	32	30	73	75	99	57	81	76	8
99	44	35	55	42	49	4	12	58	91	40	76	96	73	88	70	41	15	22	65	59	68	17	45	25
94	96	1	8	58	9	93	80	76	5	86	49	29	41	97	92	83	56	65	28	62	89	46	98	17
47	73	69	5	32	87	1	71	9	58	62	4	14	76	6	91	8	17	38	84	15	72	11	60	65
2	63	69	7	45	20	76	95	77	29	60	68	62	80	4	79	36	9	42	6	10	81	44	27	5
62	51	18	27	54	16	48	88	58	52	86	64	2	5	96	7	69	70	57	53	89	78	34	85	72
97	96	24	50	85	2	74	53	34	36	63	67	38	9	99	42	60	30	31	56	69	26	58	20	82
44	77	87	34	60	93	74	51	40	31	8	14	23	38	15	90	65	46	89	41	63	39	85	70	97
39	41	37	9	12	7	91	79	57	72	92	23	94	93	87	64	76	25	2	80	38	22	98	55	73
28	2	90	93	41	87	40	71	88	37	57	83	21	43	6	61	44	62	65	78	23	14	36	10	54
27	5	94	57	36	83	8	34	80	90	17	15	25	2	33	55	32	72	50	24	59	28	62	98	20
83	5	58	42	79	52	59	75	57	24	85	49	14	53	18	17	66	15	82	64	48	31	90	47	6
81	33	24	16	62	92	96	34	23	32	30	71	21	40	89	14	28	59	84	52	26	4	10	54	45
40	93	27	95	2	73	44	25	35	68	79	77	21	17	84	65	99	22	29	94	60	55	76	14	64
95	7	80	83	41	89	3	91	96	9	79	10	36	74	38	27	31	58	63	29	52	2	39	66	90
63	65	20	15	76	1	17	96	73	78	97	11	90	5	85	40	24	84	37	29	8	46	92	49	89
69	41	28	14	94	30	34	17	86	55	51	49	33	3	95	54	62	89	29	2	25	8	84	73	31
46	32	87	82	60	23	16	67	80	77	98	64	56	9	17	10	68	14	21	95	11	7	88	48	15
45	61	65	57	93	79	55	20	36	73	51	43	25	19	6	48	12	75	78	35	96	38	28	90	92
17	22	35	10	4	84	91	2	93	83	21	39	69	72	11	23	3	26	97	51	7	62	6	5	32
97	92	70	83	19	54	87	16	38	40	96	41	47	78	72	90	53	48	39	61	3	32	42	74	95
42	26	36	4	30	69	94	53	21	81	38	19	35	40	22	82	57	18	16	12	43	91	37	78	52
2	86	81	22	69	58	59	17	87	39	56	95	67	20	43	57	71	32	83	27	14	15	10	64	44
53	48	39	32	98	3	13	33	28	72	86	50	54	63	64	70	92	96	74	46	95	21	10	77	17
6	1	45	51	5	29	32	76	71	24	39	70	55	47	80	18	2	37	72	16	23	78	58	75	30
1	80	81	75	34	32	52	18	47	71	83	87	31	23	66	79	19	10	85	24	15	27	36	50	49
88	32	11	41	74	72	22	43	81	71	5	94	75	45	61	79	73	23	93	99	87	63	56	82	66
58	46	16	52	2	28	50	22	35	53	5	10	96	31	76	18	80	15	30	77	88	85	92	75	17
77	59	31	33	88	18	21	48	38	76	71	82	86	50	37	24	36	54	62	1	69	2	9	66	60
50	20	66	43	98	5	95	45	29	26	54	80	86	42	16	18	39	25	38	17	41	90	84	33	83
26	5	25	83	72	3	12	88	32	21	80	40	58	11	81	55	42	94	98	13	70	19	82	10	31
78	63	34	37	48	13	84	21	32	80	46	43	92	95	14	29	90	99	68	15	1	56	9	19	97
22	18	70	32	36	5	6	99	63	61	45	95	47	55	87	3	31	80	15	89	84	98	33	54	81
85	19	20	70	39	64	57	25	16	53	10	21	90	78	22	66	75	5	48	37	38	11	86	32	99
26	36	75	93	40	15	14	80	16	97	57	67	54	51	24	53	27	10	78	98	94	12	41	70	55
81	45	83	82	99	21	38	53	7	92	16	29	69	57	36	95	1	32	52	66	72	30	58	62	8
57	43	82	96	42	6	68	38	5	78	66	33	28	90	86	62	31	4	70	84	65	40	92	13	21
81	9	13	76	63	90	34	70	3	60	31	98	89	50	85	87	1	11	58	2	65	29	36	37	56
18	4	47	92	63	77	93	41	16	14	64	15	12	40	53	44	9	81	95	42	48	65	36	5	59
65	66	45	92	50	14	60	36	93	47	57	18	78	63	87	13	20	54	27	74	23	10	46	4	24
21	60	6	20	89	79	99	32	49	51	77	42	3	45	64	7	80	17	91	56	68	46	44	12	75
21	19	26	66	48	93	77	86	47	8	5	87	57	41	4	54	17	2	39	27	22	15	13	74	16
96	71	89	49	29	33	26	87	78	31	6	57	48	68	42	80	77	46	39	61	66	72	34	5	59
66	55	32	49	22	27	24	93	92	5	7	95	56	43	41	30	11	23	62	86	63	2	45	97	91
82	71	69	35	2	21	28	1	60	44	50	72	3	61	25	97	6	91	99	10	46	33	94	64	12
64	86	98	18	61	41	12	83	48	42	6	28	84	49	68	24	9	77	74	19	33	69	34	76	15
83	54	82	86	66	64	19	73	8	9	65	36	10	99	72	71	34	96	48	14	75	78	60	81	74
60	78	68	37	21	43	72	77	41	59	3	4	38	50	45	1	82	14	53	90	6	11	25	94	93
72	1	26	11	40	42	41	75	63	90	36	20	94	17	74	95	80	97	19	8	4	49	45	39	33
12	43	19	60	4	62	83	46	88	90	68	7	8	33	67	57	74	34	44	25	50	5	45	36	14
73	6	13	31	7	77	89	66	53	81	2	32	63	24	3	10	36	5	55	43	90	38	46	93	61
95	74	49	46	31	79	71	44	13	92	94	91	34	61	12	28	85	7	57	41	45	89	76	42	52
86	87	19	23	78	26	52	60	29	71	22	53	69	50	35	66	42	11	79	9	93	3	38	17	20
20	64	86	52	2	97	53	79	33	35	66	47	67	36	83	74	72	28	60	61	68	89	1	14	57
32	37	66	5	73	68	46	35	9	36	60	86	18	2	69	33	94	83	38	29	13	27	63	44	16
74	82	13	38	44	97	59	62	16	60	40	22	42	17	14	45	81	21	67	69	28	12	86	41	64
48	59	78	77	88	66	89	38	11	52	96	10	15	61	14	75	18	80	26	31	43	30	40	98	90
46	95	12	64	8	94	54	35	76	30	44	6	83	68	91	78	82	90	15	29	42	99	51	27	26
50	34	77	1	98	46	3	80	43	92	42	35	47	56	94	32	33	83	9	63	51	64	59	26	4
35	48	88	56	46	97	83	87	16	14	24	77	86	67	81	53	32	99	54	8	50	17	28	49	78
69	27	77	76	58	36	9	86	55	24	48	20	33	37	8	31	52	56	28	73	89	2	44	22	5
8	74	89	53	31	37	36	32	22	25	40	21	24	35	42	16	95	7	50	48	18	68	90	9	6
56	28	66	48	79	54	74	3	86	25	5	61	82	46	69	17	77	39	47	87	89	33	10	67	90
86	38	64	75	52	31	1	44	67	69	76	68	8	62	6	46	72	99	83	16	10	24	26	5	36
40	79	15	87	21	73	49	10	74	53	71	68	55	65	13	58	82	45	16	66	69	19	35	90	50
19	47	15	91	84	18	43	48	73	9	83	17	7	94	97	8	32	26	44	12	39	34	61	45	56
55	71	58	64	13	6	84	74	69	73	67	52	96	70	81	50	97	32	4	15	14	1	45	9	40
13	57	39	70	5	79	63	82	30	2	27	8	22	56	1	25	71	89	96	4	18	38	49	95	40
